"varietal","category","average_price_varietal"
"Sämling","Dessert","                35.33"
"Sämling","White","                15.00"
"Saint Jeannet","White","                13.00"
"Sagrantino","Dessert","                48.89"
"Sagrantino","Red","                51.05"
"Sagrantino","Rose","                21.00"
"Sacy","White","                19.00"
"Ryzlink Rýnský","White","                40.00"
"Rufete","Red","                28.50"
"Rufete","Rose","                10.00"
"Ruen","Red","                15.00"
"Ruché","Red","                27.42"
"Rubin","Red","                36.00"
"Roviello","White","                28.00"
"Roussanne-Viognier","Red","                24.00"
"Roussanne-Viognier","White","                28.26"
"Roussanne-Marsanne","White","                32.14"
"Roussanne-Grenache Blanc","White","                18.00"
"Roussanne","Dessert","                32.83"
"Roussanne","Port/Sherry","                20.00"
"Roussanne","Red","                18.67"
"Roussanne","White","                27.75"
"Rotgipfler","Dessert",NULL
"Rotgipfler","White","                29.65"
"Roter Veltliner","White","                30.29"
"Roter Traminer","White","                33.00"
"Rosenmuskateller","Dessert","               150.00"
"Rosé","Dessert","                25.50"
"Rosé","Red","                17.90"
"Rosé","Rose","                17.90"
"Rosé","Sparkling","                31.62"
"Rosé","White","                14.25"
"Roscetto","White","                24.00"
"Rosato","Rose","                17.69"
"Rosado","Rose","                13.23"
"Romorantin","White","                22.40"
"Rolle","Rose","                30.00"
"Rolle","White","                22.38"
"Roditis-Moschofilero","White","                11.00"
"Roditis","Red","                13.00"
"Roditis","White","                13.39"
"Robola","White","                19.29"
"Rkatsiteli","Red","                18.00"
"Rkatsiteli","White","                21.15"
"Rivaner","White","                14.50"
"Riesling-Muscat","White","                12.00"
"Riesling-Chardonnay","Dessert","                40.00"
"Riesling","Dessert","                93.95"
"Riesling","Red","                23.00"
"Riesling","Sparkling","                24.43"
"Riesling","White","                27.94"
"Rieslaner","Dessert",NULL
"Rieslaner","White","                40.40"
"Ribolla Gialla","Sparkling","                29.44"
"Ribolla Gialla","White","                27.22"
"Rhône-style White Blend","Dessert","                46.50"
"Rhône-style White Blend","Fortified","                50.00"
"Rhône-style White Blend","Red","                31.33"
"Rhône-style White Blend","Rose","                33.00"
"Rhône-style White Blend","White","                30.40"
"Rhône-style Red Blend","Fortified","                28.00"
"Rhône-style Red Blend","Port/Sherry","                70.00"
"Rhône-style Red Blend","Red","                32.36"
"Rhône-style Red Blend","Rose","                13.65"
"Rhône-style Red Blend","Sparkling","                10.00"
"Rhône-style Red Blend","White","                19.00"
"Refosco","Dessert","                45.00"
"Refosco","Red","                34.65"
"Red Blend","Dessert","                35.48"
"Red Blend","Fortified","               113.36"
"Red Blend","Port/Sherry","                23.00"
"Red Blend","Red","                35.33"
"Red Blend","Rose","                21.61"
"Red Blend","Sparkling","                20.20"
"Red Blend","White","                19.28"
"Rebula","White","                22.67"
"Rebo","Red","                27.00"
"Raspberry","Red","                14.00"
"Rara Neagra","Red","                17.67"
"Ranchita Canyon","Red","                18.00"
"Ramisco","Red","               314.00"
"Raboso","Dessert","                20.00"
"Raboso","Red","                31.80"
"Raboso","Rose","                13.50"
"Raboso","Sparkling","                15.25"
"Rabigato","White","                33.00"
"Pugnitello","Red","                54.00"
"Prunelard","Red","                20.00"
"Prugnolo Gentile","Dessert","               223.50"
"Prugnolo Gentile","Red","                35.78"
"Provence white blend","White","                23.77"
"Provence red blend","Red","                30.38"
"Prosecco","Sparkling","                18.31"
"Prokupac","Red","                21.00"
"Primitivo-Susumaniello","Red","                22.00"
"Primitivo","Dessert","                25.40"
"Primitivo","Red","                23.61"
"Primitivo","Rose","                16.50"
"Prieto Picudo","Red","                30.83"
"Prieto Picudo","Rose","                14.50"
"Prié Blanc","Sparkling","                28.00"
"Prié Blanc","White","                21.67"
"Premsal","White","                15.00"
"Poulsard","Red","                26.00"
"Posip","Sparkling","                70.00"
"Posip","White","                23.09"
"Portuguiser","Red","                15.00"
"Portuguese White","Dessert","                25.60"
"Portuguese White","Red","                10.00"
"Portuguese White","Rose","                10.00"
"Portuguese White","White","                15.74"
"Portuguese Sparkling","Sparkling","                17.47"
"Portuguese Rosé","Rose","                17.50"
"Portuguese Red","Dessert","                50.00"
"Portuguese Red","Fortified","                30.00"
"Portuguese Red","Port/Sherry",NULL
"Portuguese Red","Red","                25.04"
"Portuguese Red","Rose","                 9.82"
"Portuguese Red","White","                12.00"
"Port","Dessert","                35.78"
"Port","Port/Sherry","                62.79"
"Port","Red","                43.50"
